# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
6.231587499999999949e-07	-2.218749999999980460e-02	3.281250000000124345e-04	-3.046875000000004441e-03	-9.843750000000095479e-04
6.231987500000000402e-07	-3.976562499999980460e-02	-3.281250000000124345e-04	-6.562500000000248690e-04	8.437500000000042188e-04
6.232387499999999797e-07	1.890625000000012434e-02	2.343750000000088818e-04	-5.468750000000022204e-04	9.375000000000355271e-05
6.232787500000000250e-07	-1.882812499999975131e-02	-5.078124999999988898e-03	-1.843750000000032863e-03	2.296875000000003775e-03
6.233187500000000704e-07	-2.828125000000003553e-02	-2.171874999999989786e-03	2.031249999999984457e-03	1.476562500000000444e-03
6.233587500000000099e-07	-3.125000000000000000e-02	-7.984374999999988010e-03	4.328124999999960476e-03	2.117187500000006217e-03
6.233987500000000552e-07	-8.750000000000035527e-03	-6.749999999999978240e-03	4.218749999999993339e-03	1.835937499999995559e-03
6.234387499999999947e-07	1.632812500000024869e-02	-3.109374999999969802e-03	2.546874999999948486e-03	1.601562499999986677e-03
6.234787500000000401e-07	-1.382812499999985789e-02	2.187499999999897859e-04	-2.187500000000452971e-04	-5.000000000000004441e-04
6.235187499999999795e-07	-5.468750000000000000e-02	-5.421874999999964917e-03	-6.968750000000023537e-03	7.656249999999920064e-04
6.235587500000000249e-07	-4.015624999999989342e-02	-7.765624999999998224e-03	-2.906249999999999112e-03	-3.203125000000028866e-04
6.235987500000000703e-07	-2.195312500000001776e-02	-7.093750000000009770e-03	5.156249999999640288e-04	-5.624999999999935607e-04
6.236387500000000097e-07	-3.046874999999893419e-03	-2.296874999999976019e-03	7.015624999999969802e-03	2.109374999999802380e-04
6.236787500000000551e-07	-4.921874999999964473e-03	-3.546875000000004885e-03	1.124999999999987121e-03	2.960937499999982681e-03
6.237187499999999946e-07	-2.343749999997868372e-04	-8.281249999999962252e-03	2.328124999999958700e-03	-9.062499999999973355e-04
6.237587500000000399e-07	-6.796875000000035527e-03	-7.781249999999961808e-03	2.187499999999897859e-04	9.921874999999913403e-04
6.237987499999999794e-07	-3.671874999999991118e-02	-4.609374999999971134e-03	1.140624999999950706e-03	9.843749999999817923e-04
6.238387500000000248e-07	-2.304687499999991118e-02	-5.687500000000011990e-03	-2.468750000000019540e-03	9.296874999999982236e-04
6.238787500000000701e-07	-2.265624999999715783e-03	-3.109374999999969802e-03	-7.343750000000093259e-04	2.882812499999998224e-03
6.239187500000000096e-07	-1.773437499999985789e-02	-2.953125000000000888e-03	-2.609375000000024869e-03	1.054687499999984457e-03
6.239587500000000550e-07	-3.773437499999987566e-02	-3.031249999999985345e-03	2.578124999999986677e-03	1.359374999999996003e-03
6.239987499999999944e-07	-2.328124999999969802e-02	1.937500000000036415e-03	7.499999999999729106e-04	1.585937499999995337e-03
6.240387500000000398e-07	-3.671874999999769074e-03	-1.468749999999963141e-03	1.249999999999973355e-03	1.843750000000005107e-03
6.240787499999999793e-07	8.750000000000035527e-03	-1.734375000000010214e-03	1.234374999999954259e-03	2.039062499999994005e-03
6.241187500000000246e-07	-1.703125000000005329e-02	-1.703124999999972022e-03	2.124999999999988010e-03	1.757812499999983347e-03
6.241587500000000700e-07	-2.132812499999969802e-02	-5.734375000000013767e-03	-2.093750000000005329e-03	-9.375000000000077716e-04
6.241987500000000095e-07	-4.507812499999985789e-02	-7.578124999999991118e-03	-7.812500000000111022e-04	6.640625000000066613e-04
6.242387500000000548e-07	-2.234374999999966249e-02	-2.218749999999991562e-03	-2.531250000000040412e-03	5.390624999999926725e-04
6.242787499999999943e-07	1.054687500000017764e-02	-1.703124999999972022e-03	3.812499999999996447e-03	0.000000000000000000e+00
6.243187500000000396e-07	2.406250000000031974e-02	3.234375000000011546e-03	3.203124999999973355e-03	-4.531249999999986677e-04
6.243587499999999791e-07	5.312500000000053291e-03	4.062500000000024425e-03	-1.609375000000023981e-03	2.507812499999984013e-03
6.243987500000000245e-07	-3.203124999999751310e-03	-2.343750000000088818e-04	-6.203125000000031530e-03	2.250000000000001998e-03
6.244387500000000698e-07	-2.640624999999996447e-02	-4.796874999999978240e-03	-5.578125000000044853e-03	2.890624999999924505e-04
