# time	Trigger	RGA	Intrepid	Pockels_Monitor	
1.897679999999999930e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.897839999999999900e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.898000000000000081e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.898160000000000051e-06	1.669999999999999929e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.898320000000000021e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.898479999999999990e-06	1.709999999999999964e+00	2.000000000000001776e-03	-8.000000000000118128e-03	2.000000000000000389e-02
1.898639999999999960e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.898799999999999930e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.898959999999999899e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.899120000000000081e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.899280000000000051e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.899440000000000020e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.899599999999999990e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.899759999999999960e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.899919999999999929e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.900079999999999899e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.900240000000000080e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.900400000000000050e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.900560000000000020e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.900719999999999989e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.900879999999999959e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.901039999999999929e-06	1.689999999999999947e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.901199999999999898e-06	1.689999999999999947e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.901360000000000080e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.901520000000000049e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.901680000000000019e-06	1.709999999999999964e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.901839999999999989e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.901999999999999958e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
1.902159999999999928e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.902319999999999898e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.902480000000000079e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.902640000000000049e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.902800000000000019e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	-2.000000000000000389e-02
1.902959999999999988e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	-2.000000000000000389e-02
1.903119999999999958e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.903279999999999928e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.903439999999999897e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.903600000000000079e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.903760000000000048e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.903920000000000018e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.904079999999999988e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.904239999999999957e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.904399999999999927e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.904559999999999897e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.904720000000000078e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.904880000000000048e-06	1.709999999999999964e+00	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
1.905040000000000017e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.905199999999999987e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.905359999999999957e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.905519999999999926e-06	1.709999999999999964e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.905679999999999896e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.905840000000000077e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.906000000000000047e-06	1.709999999999999964e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	-2.000000000000000389e-02
1.906160000000000017e-06	1.709999999999999964e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.906319999999999986e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.906479999999999956e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.906639999999999926e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.906799999999999896e-06	1.689999999999999947e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.906960000000000077e-06	1.709999999999999964e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.907120000000000047e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.907280000000000016e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.907439999999999986e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.907600000000000167e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.907759999999999925e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	2.000000000000000389e-02
1.907920000000000107e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.908079999999999865e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.908240000000000046e-06	1.689999999999999947e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.908399999999999804e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	2.000000000000000389e-02
1.908559999999999985e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.908720000000000167e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.908879999999999925e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
1.909040000000000106e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.909199999999999864e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.909360000000000045e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.909519999999999803e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.909679999999999985e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.909840000000000166e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.909999999999999924e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	-2.000000000000000389e-02
1.910160000000000106e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.910319999999999863e-06	1.669999999999999929e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.910480000000000045e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.910639999999999803e-06	1.709999999999999964e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.910799999999999984e-06	1.709999999999999964e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.910960000000000166e-06	1.709999999999999964e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
