# time (ps)	level	
3.025000000000000000e+04	0.000000000000000000e+00
3.037500000000000000e+04	0.000000000000000000e+00
3.050000000000000000e+04	0.000000000000000000e+00
3.062500000000000000e+04	0.000000000000000000e+00
3.075000000000000000e+04	0.000000000000000000e+00
3.087500000000000000e+04	0.000000000000000000e+00
3.100000000000000000e+04	0.000000000000000000e+00
3.112500000000000000e+04	0.000000000000000000e+00
3.125000000000000000e+04	0.000000000000000000e+00
3.137500000000000000e+04	0.000000000000000000e+00
3.150000000000000000e+04	0.000000000000000000e+00
3.162500000000000000e+04	0.000000000000000000e+00
3.175000000000000000e+04	0.000000000000000000e+00
3.187500000000000000e+04	0.000000000000000000e+00
3.200000000000000000e+04	0.000000000000000000e+00
3.212500000000000000e+04	0.000000000000000000e+00
3.225000000000000000e+04	0.000000000000000000e+00
3.237500000000000000e+04	0.000000000000000000e+00
3.250000000000000000e+04	0.000000000000000000e+00
3.262500000000000000e+04	0.000000000000000000e+00
3.275000000000000000e+04	0.000000000000000000e+00
3.287500000000000000e+04	0.000000000000000000e+00
3.300000000000000000e+04	0.000000000000000000e+00
3.312500000000000000e+04	0.000000000000000000e+00
3.325000000000000000e+04	0.000000000000000000e+00
3.337500000000000000e+04	0.000000000000000000e+00
3.350000000000000000e+04	0.000000000000000000e+00
3.362500000000000000e+04	0.000000000000000000e+00
3.375000000000000000e+04	0.000000000000000000e+00
3.387500000000000000e+04	0.000000000000000000e+00
3.400000000000000000e+04	0.000000000000000000e+00
3.412500000000000000e+04	0.000000000000000000e+00
3.425000000000000000e+04	0.000000000000000000e+00
3.437500000000000000e+04	0.000000000000000000e+00
3.450000000000000000e+04	0.000000000000000000e+00
3.462500000000000000e+04	0.000000000000000000e+00
3.475000000000000000e+04	0.000000000000000000e+00
3.487500000000000000e+04	0.000000000000000000e+00
3.500000000000000000e+04	0.000000000000000000e+00
3.512500000000000000e+04	0.000000000000000000e+00
3.525000000000000000e+04	0.000000000000000000e+00
3.537500000000000000e+04	0.000000000000000000e+00
3.550000000000000000e+04	0.000000000000000000e+00
3.562500000000000000e+04	0.000000000000000000e+00
3.575000000000000000e+04	0.000000000000000000e+00
3.587500000000000000e+04	0.000000000000000000e+00
3.600000000000000000e+04	0.000000000000000000e+00
3.612500000000000000e+04	0.000000000000000000e+00
3.625000000000000000e+04	0.000000000000000000e+00
3.637500000000000000e+04	0.000000000000000000e+00
3.650000000000000000e+04	0.000000000000000000e+00
3.662500000000000000e+04	0.000000000000000000e+00
3.675000000000000000e+04	0.000000000000000000e+00
3.687500000000000000e+04	0.000000000000000000e+00
3.700000000000000000e+04	0.000000000000000000e+00
3.712500000000000000e+04	0.000000000000000000e+00
3.725000000000000000e+04	0.000000000000000000e+00
3.737500000000000000e+04	0.000000000000000000e+00
